id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,odparowanie,suma_opadu,cisnienie
12295,Białystok,2017-12-07,13,5.4,4,260,83.8,,0000000012.7,1013.2
12600,"Bielsko Biała",2017-12-07,13,7.4,4,200,42.6,,0000000000.1,1019.3
12235,Chojnice,2017-12-07,13,4.9,9,240,77.9,,000000000006,1011.3
12550,Częstochowa,2017-12-07,13,4.6,4,190,69.8,,0000000001.6,1018.1
12556,Dźwirzyno,2017-12-07,13,6.3,2,220,70.1,,000000000002,1009.6
12160,Elbląg,2017-12-07,13,4.9,7,220,86.2,,0000000020.4,1010.6
12155,Gdańsk,2017-12-07,13,6.8,6,230,73.8,,0000000000.7,1010.2
12300,Gorzów,2017-12-07,13,5.4,4,220,72.0,,0000000003.1,1012.7
12135,Hel,2017-12-07,13,7,6,240,72.8,,0000000008.6,1009.6
12500,"Jelenia Góra",2017-12-07,13,8.6,3,240,39.5,,0000000002.5,1016.2
12435,Kalisz,2017-12-07,13,6,5,190,71.6,,0000000002.2,1015.9
12650,"Kasprowy Wierch",2017-12-07,13,-0.2,13,290,,,0000000001.5,
12560,Katowice,2017-12-07,13,4.3,6,210,69.7,,0000000000.9,1019.6
12185,Kętrzyn,2017-12-07,13,6,6,240,82.7,,0000000013.1,1010.7
12570,Kielce,2017-12-07,13,3.6,6,220,76.0,,0000000003.8,1019.2
12520,Kłodzko,2017-12-07,13,5.4,6,220,67.0,,0000000000.5,1019.2
12345,Koło,2017-12-07,13,6.2,5,220,66.6,,0000000000.8,1015
12100,Kołobrzeg,2017-12-07,13,6.6,4,210,70.7,,0000000002.3,1009.4
12105,Koszalin,2017-12-07,13,6.1,5,220,69.6,,0000000004.2,1009.7
12488,Kozienice,2017-12-07,13,5.2,4,230,79.7,,000000000006,1017.5
12566,Kraków,2017-12-07,13,5.3,5,230,66.9,,000000000001,1019.7
12670,Krosno,2017-12-07,13,1,7,190,91.0,,0000000002.5,1021.8
12415,Legnica,2017-12-07,13,7.1,3,190,65.9,,000000000.01,1015.7
12690,Lesko,2017-12-07,13,2.6,4,190,75.9,,0000000005.4,1021.7
12418,Leszno,2017-12-07,13,7.6,4,220,55.8,,0000000000.6,1014.9
12125,Lębork,2017-12-07,13,6.3,6,250,72.7,,0000000025.7,1009.1
12495,Lublin,2017-12-07,13,4.1,4,260,83.6,,0000000003.2,1018.1
12120,Łeba,2017-12-07,13,5.8,8,240,79.7,,0000000010.1,1008.8
12465,Łódź,2017-12-07,13,5.3,6,220,72.0,,0000000006.9,1016.5
12280,Mikołajki,2017-12-07,13,5.7,5,240,85.0,,0000000009.6,1011.7
12270,Mława,2017-12-07,13,5.2,6,240,80.8,,0000000004.8,1013.7
12660,"Nowy Sącz",2017-12-07,13,7,2,220,60.8,,0000000000.1,1019.7
12272,Olsztyn,2017-12-07,13,5.6,5,230,79.7,,0000000011.2,1012
12530,Opole,2017-12-07,13,5.5,3,190,70.0,,0000000000.5,1018.2
12285,Ostrołęka,2017-12-07,13,5.8,4,240,78.6,,0000000000.5,1013.8
12230,Piła,2017-12-07,13,5.4,4,220,71.0,,0000000001.3,1012.5
12001,Platforma,2017-12-07,13,6.5,18,230,77.0,,,1006.1
12360,Płock,2017-12-07,13,5.4,5,240,73.6,,000000000002,1014.7
12330,Poznań,2017-12-07,13,6.2,6,220,67.6,,0000000003.5,1014
12695,Przemyśl,2017-12-07,13,4,5,250,75.5,,0000000002.7,1020.6
12540,Racibórz,2017-12-07,13,5.4,6,200,71.0,,000000000.01,1019.8
12210,Resko,2017-12-07,13,5.5,5,200,75.2,,0000000005.1,1010
12580,Rzeszów,2017-12-07,13,4.7,7,200,74.0,,0000000001.9,1020
12585,Sandomierz,2017-12-07,13,4.2,5,220,71.8,,0000000000.9,1019.4
12385,Siedlce,2017-12-07,13,5.2,5,240,85.0,,0000000005.4,1015.5
12310,Słubice,2017-12-07,13,5.9,5,220,66.6,,0000000002.3,1013.3
12469,Sulejów,2017-12-07,13,4.7,6,200,75.6,,0000000004.5,1017.5
12195,Suwałki,2017-12-07,13,5.2,5,240,88.0,,0000000010.4,1010.7
12205,Szczecin,2017-12-07,13,5.8,6,230,68.5,,0000000002.7,1011.2
12215,Szczecinek,2017-12-07,13,5,6,230,77.9,,0000000010.7,1010.9
12510,Śnieżka,2017-12-07,13,1.9,26,270,,,0000000000.1,
12200,Świnoujście,2017-12-07,13,5.8,4,210,69.5,,0000000002.6,1009.4
12575,Tarnów,2017-12-07,13,7.1,2,220,55.7,,0000000000.5,1019.7
12399,Terespol,2017-12-07,13,5.3,4,250,85.6,,0000000004.6,1015.5
12250,Toruń,2017-12-07,13,5.8,3,210,72.6,,0000000000.3,1013.3
12115,Ustka,2017-12-07,13,6.3,6,240,71.7,,0000000012.3,1009
12375,Warszawa,2017-12-07,13,5.7,4,260,72.6,,0000000003.3,1016
12455,Wieluń,2017-12-07,13,5.6,4,220,68.0,,0000000001.8,1017.3
12497,Włodawa,2017-12-07,13,5,6,260,84.9,,0000000005.1,1016.7
12424,Wrocław,2017-12-07,13,7.3,5,220,55.7,,000000000.01,1016.7
12625,Zakopane,2017-12-07,13,5.3,2,230,,,0000000001.5,
12595,Zamość,2017-12-07,13,4,8,260,81.8,,0000000004.7,1018.9
12400,"Zielona Góra",2017-12-07,13,6.8,5,220,58.5,,0000000000.3,1014.1
